,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U.S. Plug-in Electric Vehicle Sales by Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vehicle,Type,2011,2012,2013,2014,2015,2016,2017,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Audi A3 Plug In,PHEV,,,,,," 4,280 "," 2,877 "," 7,157 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW Active E,EV,, 965 ,,,,,, 965 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW i3,EV,,,," 6,092 "," 11,004 "," 7,625 "," 6,276 "," 30,997 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW i8,PHEV,,,, 555 ," 2,265 "," 1,594 ", 488 ," 4,902 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW X5,PHEV,,,,, 774 ," 5,995 "," 5,349 "," 12,118 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW 3 Series Plug In,PHEV,,,,, 54 , 851 ," 4,141 "," 5,046 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW 5 Series Plug In,PHEV,,,,,,," 3,759 "," 3,759 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMW 7 Series Plug In,PHEV,,,,,, 23 , 707 , 730 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cadillac CT6,PHEV,,,,,,, 205 , 205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cadillac ELR,PHEV,,, 6 ," 1,310 "," 1,024 ", 534 , 17 ," 2,891 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chevrolet Bolt,EV,,,,,, 579 ," 23,297 "," 23,876 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chevrolet Spark,EV,,, 560 ," 1,145 "," 2,629 "," 3,035 ", 23 ," 7,392 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chevrolet Volt,PHEV," 7,671 "," 23,461 "," 23,094 "," 18,805 "," 15,393 "," 24,739 "," 20,349 "," 133,512 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chrysler Pacifica,PHEV,,,,,,," 2,764 "," 2,764 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fiat 500E,EV,,, 260 ," 1,503 "," 3,477 "," 3,737 "," 3,336 "," 12,313 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ford C-MAX Energi,PHEV,," 2,374 "," 7,154 "," 8,433 "," 7,591 "," 7,957 "," 8,140 "," 41,649 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ford Focus EV,EV,, 683 ," 1,738 "," 1,964 "," 1,582 ", 901 ," 1,817 "," 8,685 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ford Fusion Energi,PHEV,,," 6,089 "," 11,550 "," 9,750 "," 15,938 "," 9,632 "," 52,959 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Honda Accord,PHEV,,, 526 , 449 , 63 ,,," 1,038 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Honda Clarity BEV,EV,,,,,,," 1,111 "," 1,111 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Honda Clarity Plug-in,PHEV,,,,,,, 898 , 898 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Honda Fit EV,EV,, 93 , 569 , 407 , 2 ,,," 1,071 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hyundai Sonata Plug-in,PHEV,,,,,," 3,000 "," 2,254 "," 5,254 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hyundai Ioniq EV,EV,,,,,,, 427 , 427 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kia Optima Plug-in,PHEV,,,,,,," 1,542 "," 1,542 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kia Soul EV,EV,,,, 250 ," 1,015 "," 1,728 "," 2,157 "," 5,150 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercedes B-Class Electric,EV,,,, 774 ," 1,906 ", 632 , 744 ," 4,056 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercedes C350We Plug-in Hybrid,PHEV,,,,,, 171 , 810 , 981 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercedes GLE 550e Hybrid,PHEV,,,,,, 212 , 430 , 642 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercedes S550 Plug In,PHEV,,,,, 118 , 550 , 583 ," 1,251 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mini Cooper Countryman Plug In,PHEV,,,,,,, 475 , 475 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mitsubishi i-MiEV,EV, 76 , 588 ," 1,029 ", 196 , 115 , 94 , 6 ," 2,104 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nissan LEAF,EV," 9,674 "," 9,819 "," 22,610 "," 30,200 "," 17,269 "," 14,006 "," 11,230 "," 114,808 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porsche Cayenne S E-Hybrid,PHEV,,,, 112 ," 1,163 "," 2,111 "," 1,574 "," 4,960 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porsche Panamera S E-Hybrid,PHEV,,, 51 , 879 , 407 , 393 , 18 ," 1,748 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smart ED,EV, 310 , 2 ,,,,,, 312 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smart for Two EV,EV,, 137 , 923 ," 2,594 "," 1,387 ", 657 , 543 ," 6,241 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tesla Model 3,EV,,,,,,," 1,770 "," 1,770 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tesla Model S,EV,," 2,171 "," 19,000 "," 16,750 "," 26,200 "," 30,200 "," 26,500 "," 120,821 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tesla Model X,EV,,,,, 208 ," 19,600 "," 21,700 "," 41,508 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toyota Prius Prime,PHEV,," 12,749 "," 12,088 "," 13,264 "," 4,191 "," 2,474 "," 20,936 "," 65,702 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toyota RAV4 EV,EV,, 192 ," 1,005 "," 1,184 ", 18 ,,," 2,399 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volvo S90 Plug In ,PHEV,,,,,,, 112 , 112 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volvo XC60,PHEV,,,,,,, 518 , 518 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volvo XC90,PHEV,,,,, 86 ," 2,015 "," 2,196 "," 4,297 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VW e-Golf,EV,,,, 357 ," 4,232 "," 3,937 "," 3,534 "," 12,060 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,," 17,731 "," 53,234 "," 96,702 "," 118,773 "," 113,923 "," 159,568 "," 195,245 "," 755,176 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Source: http://hybridcars.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PEVs include plug-in HEVs and extended range EVs, but do not include Neighborhood Electric Vehicles, Low Speed Electric Vehicles, or two-wheeled electric vehicles. Only full-sized vehicles sold in the U.S. and capable of 60mph are listed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HybridCars.com has split sales tables into Plug-in hybrid and All-electric as of Feb 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Last updated 10/22/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acronyms:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV: All-electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEV: Plug-in electric vehicle. These include both all-electric and plug-in hybrid electric vehicles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHEV: Plug-in hybrid electric vehicle. These include any vehicle that has both an electric motor and gasoline engine, including extended range electric vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,